session_id,user_id,user_name,department,timestamp,event_type,country,city,impossible_travel,hours_since_last,mfa_fail_count,is_known_device,country_deviation,hour_sin,hour_cos,is_business_hours,role_rank,role_escalation,pwd_reset_7d,peer_zscore,risk_label,anomaly_type
6fc8700e,kim_j,Kim Junho,Sales,2025-01-01T02:00:00,login,Japan,Tokyo,0,0.0,0,1,0,0.5,0.866,0,0,0,1,0.873,MEDIUM,password_reset_flood
0fd0f831,kim_j,Kim Junho,Sales,2025-01-01T02:15:00,login,Japan,Tokyo,0,0.25,0,1,0,0.5,0.866,0,0,0,2,0.873,MEDIUM,password_reset_flood
ceebe667,kim_j,Kim Junho,Sales,2025-01-01T02:30:00,login,Japan,Tokyo,0,0.25,0,1,0,0.5,0.866,0,0,0,3,0.873,MEDIUM,password_reset_flood
8b812b71,sato_m,Sato Miyuki,Finance,2025-01-01T03:00:00,login,UK,London,0,0.0,0,0,0,0.7071,0.7071,0,2,1,0,-0.135,MEDIUM,new_country_login
723a107d,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-01T08:30:00,login,Japan,Tokyo,0,0.0,0,1,0,0.866,-0.5,1,0,0,0,2.897,LOW,none
b9b57322,kim_j,Kim Junho,Sales,2025-01-01T08:42:00,login,Japan,Tokyo,0,6.2,0,1,0,0.866,-0.5,1,1,1,3,0.873,LOW,none
30f7d4e4,ito_k,Ito Kenji,Finance,2025-01-01T08:55:00,login,Japan,Nagoya,0,0.0,0,1,0,0.866,-0.5,1,0,0,0,-0.135,LOW,none
965d52da,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-01T09:01:00,login,Japan,Tokyo,0,0.52,0,1,0,0.7071,-0.7071,1,0,0,0,2.897,LOW,none
d79033ba,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-01T09:13:00,login,Japan,Tokyo,0,0.2,0,1,0,0.7071,-0.7071,1,0,0,0,2.897,LOW,none
61178fe4,admin45,Admin User 45,IT Operations,2025-01-01T09:22:00,login,Japan,Tokyo,0,0.0,0,1,0,0.7071,-0.7071,1,1,0,0,1.758,LOW,none
e1a58a17,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-01T09:43:00,login,Japan,Tokyo,0,0.5,0,1,0,0.7071,-0.7071,1,1,0,0,2.897,LOW,none
21b49fca,nakamura_a,Nakamura Aoi,DevOps,2025-01-01T09:43:00,login,Japan,Tokyo,0,0.0,0,1,0,0.7071,-0.7071,1,1,0,0,1.215,LOW,none
2820c8a9,yamada_r,Yamada Riko,HR,2025-01-01T10:34:00,login,Japan,Tokyo,0,0.0,0,1,0,0.5,-0.866,1,0,0,0,0.881,LOW,none
2d6d7dcb,sato_m,Sato Miyuki,Finance,2025-01-01T10:44:00,login,Japan,Osaka,1,7.73,0,1,0,0.5,-0.866,1,1,0,0,-0.135,LOW,none
26236ba7,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-01T10:45:00,login,Russia,Moscow,1,1.03,0,0,0,0.5,-0.866,1,3,1,0,2.897,HIGH,impossible_travel
7c6388f6,yamada_r,Yamada Riko,HR,2025-01-01T11:42:00,login,Japan,Tokyo,0,1.13,0,1,0,0.2588,-0.9659,1,0,0,0,0.881,LOW,none
9e2ed0d2,suzuki_t,Suzuki Takeshi,Engineering,2025-01-01T11:52:00,login,Japan,Tokyo,0,0.0,0,1,0,0.2588,-0.9659,1,1,0,0,-1.225,LOW,none
8c38c009,chen_w,Chen Wei,Engineering,2025-01-01T11:58:00,login,Japan,Tokyo,0,0.0,0,1,0,0.2588,-0.9659,1,0,0,0,-1.225,LOW,none
eb5d2f77,yamada_r,Yamada Riko,HR,2025-01-01T13:00:00,login,Japan,Tokyo,0,1.3,0,1,0,-0.2588,-0.9659,1,4,1,0,0.881,HIGH,privilege_escalation
aa49f16f,ito_k,Ito Kenji,Finance,2025-01-01T13:14:00,login,Japan,Nagoya,0,4.32,0,1,0,-0.2588,-0.9659,1,1,0,0,-0.135,LOW,none
87ce3bac,nakamura_a,Nakamura Aoi,DevOps,2025-01-01T14:38:00,login,Japan,Tokyo,0,4.92,0,1,0,-0.5,-0.866,1,1,0,0,1.215,LOW,none
50d0713d,nakamura_a,Nakamura Aoi,DevOps,2025-01-01T15:33:00,login,Japan,Tokyo,0,0.92,0,1,0,-0.7071,-0.7071,1,0,0,0,1.215,LOW,none
dd17a9f0,admin45,Admin User 45,IT Operations,2025-01-01T15:34:00,login,Japan,Tokyo,0,6.2,0,1,0,-0.7071,-0.7071,1,1,0,0,1.758,LOW,none
f5a946a1,park_s,Park Soyeon,Marketing,2025-01-01T16:34:00,login,Japan,Tokyo,0,0.0,0,1,0,-0.866,-0.5,1,1,0,0,-0.183,LOW,none
421443d7,park_s,Park Soyeon,Marketing,2025-01-01T18:29:00,login,Japan,Tokyo,0,1.92,0,1,0,-1.0,-0.0,1,1,0,0,-0.183,LOW,none
0460823a,admin45,Admin User 45,IT Operations,2025-01-01T22:00:00,login,Japan,Tokyo,0,6.43,1,0,0,-0.5,0.866,0,3,1,0,1.758,MEDIUM,mfa_brute_force
fb2acc4c,admin45,Admin User 45,IT Operations,2025-01-01T22:02:00,login,Japan,Tokyo,0,0.03,2,0,0,-0.5,0.866,0,3,1,0,1.758,MEDIUM,mfa_brute_force
ab3175c4,admin45,Admin User 45,IT Operations,2025-01-01T22:04:00,login,Japan,Tokyo,0,0.03,3,0,0,-0.5,0.866,0,3,1,0,1.758,HIGH,mfa_brute_force
33fa5c79,admin45,Admin User 45,IT Operations,2025-01-01T22:06:00,login,Japan,Tokyo,0,0.03,4,0,0,-0.5,0.866,0,3,1,0,1.758,HIGH,mfa_brute_force
ea2583ef,admin45,Admin User 45,IT Operations,2025-01-01T22:08:00,login,Japan,Tokyo,0,0.03,5,0,0,-0.5,0.866,0,3,1,0,1.758,HIGH,mfa_brute_force
60657a69,ito_k,Ito Kenji,Finance,2025-01-02T09:15:00,login,Japan,Nagoya,0,20.02,0,1,0,0.7071,-0.7071,1,0,0,0,-0.135,LOW,none
eccafc89,yamada_r,Yamada Riko,HR,2025-01-02T09:15:00,login,Japan,Tokyo,0,20.25,0,1,0,0.7071,-0.7071,1,0,0,0,-0.378,LOW,none
e087b571,sato_m,Sato Miyuki,Finance,2025-01-02T09:59:00,login,Japan,Osaka,0,23.25,0,1,0,0.7071,-0.7071,1,1,0,0,1.021,LOW,none
e76ae77d,kim_j,Kim Junho,Sales,2025-01-02T10:08:00,login,Japan,Tokyo,0,25.43,0,1,0,0.5,-0.866,1,0,0,3,0.145,LOW,none
