session_id,user_id,user_name,department,timestamp,hour_of_day,event_type,source_ip,city,country,latitude,longitude,device_id,is_known_device,role_requested,role_rank,mfa_failed,mfa_success,password_reset,anomaly_type,risk_label
6fc8700e,kim_j,Kim Junho,Sales,2025-01-01T02:00:00,2,login,103.5.222.26,Tokyo,Japan,35.6762,139.6503,f2449edb,True,viewer,0,0,1,1,password_reset_flood,MEDIUM
0fd0f831,kim_j,Kim Junho,Sales,2025-01-01T02:15:00,2,login,103.5.72.117,Tokyo,Japan,35.6762,139.6503,44edebe2,True,viewer,0,0,1,1,password_reset_flood,MEDIUM
ceebe667,kim_j,Kim Junho,Sales,2025-01-01T02:30:00,2,login,103.5.42.95,Tokyo,Japan,35.6762,139.6503,44edebe2,True,viewer,0,0,1,1,password_reset_flood,MEDIUM
8b812b71,sato_m,Sato Miyuki,Finance,2025-01-01T03:00:00,3,login,78.32.27.24,London,UK,51.5074,-0.1278,86f74848,False,manager,2,0,1,0,new_country_login,MEDIUM
723a107d,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-01T08:30:00,8,login,103.5.57.115,Tokyo,Japan,35.6762,139.6503,2bbe1681,True,viewer,0,0,1,0,none,LOW
b9b57322,kim_j,Kim Junho,Sales,2025-01-01T08:42:00,8,login,103.5.253.21,Tokyo,Japan,35.6762,139.6503,f2449edb,True,editor,1,0,1,0,none,LOW
30f7d4e4,ito_k,Ito Kenji,Finance,2025-01-01T08:55:00,8,login,119.2.161.41,Nagoya,Japan,35.1815,136.9066,2dbb2a65,True,viewer,0,0,1,0,none,LOW
965d52da,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-01T09:01:00,9,login,103.5.58.36,Tokyo,Japan,35.6762,139.6503,2bbe1681,True,viewer,0,0,1,0,none,LOW
d79033ba,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-01T09:13:00,9,login,103.5.144.51,Tokyo,Japan,35.6762,139.6503,4d915325,True,viewer,0,0,1,0,none,LOW
61178fe4,admin45,Admin User 45,IT Operations,2025-01-01T09:22:00,9,login,103.5.207.12,Tokyo,Japan,35.6762,139.6503,cf938fba,True,editor,1,0,1,0,none,LOW
e1a58a17,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-01T09:43:00,9,login,103.5.9.8,Tokyo,Japan,35.6762,139.6503,4d915325,True,editor,1,0,1,0,none,LOW
21b49fca,nakamura_a,Nakamura Aoi,DevOps,2025-01-01T09:43:00,9,login,103.5.29.76,Tokyo,Japan,35.6762,139.6503,af76cb5a,True,editor,1,0,1,0,none,LOW
2820c8a9,yamada_r,Yamada Riko,HR,2025-01-01T10:34:00,10,login,103.5.119.98,Tokyo,Japan,35.6762,139.6503,1641d4b1,True,viewer,0,0,1,0,none,LOW
2d6d7dcb,sato_m,Sato Miyuki,Finance,2025-01-01T10:44:00,10,login,126.1.72.40,Osaka,Japan,34.6937,135.5023,a9e93c52,True,editor,1,0,1,0,none,LOW
26236ba7,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-01T10:45:00,10,login,77.88.151.72,Moscow,Russia,55.7558,37.6173,e6a5e1b8,False,admin,3,0,1,0,impossible_travel,HIGH
7c6388f6,yamada_r,Yamada Riko,HR,2025-01-01T11:42:00,11,login,103.5.156.163,Tokyo,Japan,35.6762,139.6503,22081100,True,viewer,0,0,1,0,none,LOW
9e2ed0d2,suzuki_t,Suzuki Takeshi,Engineering,2025-01-01T11:52:00,11,login,103.5.103.69,Tokyo,Japan,35.6762,139.6503,42d8fe54,True,editor,1,0,1,0,none,LOW
8c38c009,chen_w,Chen Wei,Engineering,2025-01-01T11:58:00,11,login,103.5.168.128,Tokyo,Japan,35.6762,139.6503,1dc11660,True,viewer,0,0,1,0,none,LOW
eb5d2f77,yamada_r,Yamada Riko,HR,2025-01-01T13:00:00,13,login,103.5.176.84,Tokyo,Japan,35.6762,139.6503,1641d4b1,True,super_admin,4,0,1,0,privilege_escalation,HIGH
aa49f16f,ito_k,Ito Kenji,Finance,2025-01-01T13:14:00,13,login,119.2.24.194,Nagoya,Japan,35.1815,136.9066,2dbb2a65,True,editor,1,0,1,0,none,LOW
87ce3bac,nakamura_a,Nakamura Aoi,DevOps,2025-01-01T14:38:00,14,login,103.5.98.153,Tokyo,Japan,35.6762,139.6503,16b13f0b,True,editor,1,0,1,0,none,LOW
50d0713d,nakamura_a,Nakamura Aoi,DevOps,2025-01-01T15:33:00,15,login,103.5.175.185,Tokyo,Japan,35.6762,139.6503,af76cb5a,True,viewer,0,0,1,0,none,LOW
dd17a9f0,admin45,Admin User 45,IT Operations,2025-01-01T15:34:00,15,login,103.5.21.142,Tokyo,Japan,35.6762,139.6503,71edf8be,True,editor,1,0,1,0,none,LOW
f5a946a1,park_s,Park Soyeon,Marketing,2025-01-01T16:34:00,16,login,103.5.230.150,Tokyo,Japan,35.6762,139.6503,e8096f19,True,editor,1,0,1,0,none,LOW
421443d7,park_s,Park Soyeon,Marketing,2025-01-01T18:29:00,18,login,103.5.36.64,Tokyo,Japan,35.6762,139.6503,bb3b46ec,True,editor,1,0,1,0,none,LOW
0460823a,admin45,Admin User 45,IT Operations,2025-01-01T22:00:00,22,login,103.5.76.213,Tokyo,Japan,35.6762,139.6503,0e8d0585,False,admin,3,1,0,0,mfa_brute_force,MEDIUM
fb2acc4c,admin45,Admin User 45,IT Operations,2025-01-01T22:02:00,22,login,103.5.161.159,Tokyo,Japan,35.6762,139.6503,1624e68c,False,admin,3,2,0,0,mfa_brute_force,MEDIUM
ab3175c4,admin45,Admin User 45,IT Operations,2025-01-01T22:04:00,22,login,103.5.227.221,Tokyo,Japan,35.6762,139.6503,78557915,False,admin,3,3,0,0,mfa_brute_force,HIGH
33fa5c79,admin45,Admin User 45,IT Operations,2025-01-01T22:06:00,22,login,103.5.93.148,Tokyo,Japan,35.6762,139.6503,e6948037,False,admin,3,4,0,0,mfa_brute_force,HIGH
ea2583ef,admin45,Admin User 45,IT Operations,2025-01-01T22:08:00,22,login,103.5.50.181,Tokyo,Japan,35.6762,139.6503,2acc441c,False,admin,3,5,0,0,mfa_brute_force,HIGH
eccafc89,yamada_r,Yamada Riko,HR,2025-01-02T09:15:00,9,login,103.5.87.6,Tokyo,Japan,35.6762,139.6503,1641d4b1,True,viewer,0,0,1,0,none,LOW
60657a69,ito_k,Ito Kenji,Finance,2025-01-02T09:15:00,9,login,119.2.138.115,Nagoya,Japan,35.1815,136.9066,2dbb2a65,True,viewer,0,0,1,0,none,LOW
e087b571,sato_m,Sato Miyuki,Finance,2025-01-02T09:59:00,9,login,126.1.62.15,Osaka,Japan,34.6937,135.5023,a9e93c52,True,editor,1,0,1,0,none,LOW
e76ae77d,kim_j,Kim Junho,Sales,2025-01-02T10:08:00,10,login,103.5.68.136,Tokyo,Japan,35.6762,139.6503,44edebe2,True,viewer,0,0,1,0,none,LOW
26182f43,ito_k,Ito Kenji,Finance,2025-01-02T10:27:00,10,login,119.2.119.64,Nagoya,Japan,35.1815,136.9066,2dbb2a65,True,editor,1,0,1,0,none,LOW
0423fbfc,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-02T10:29:00,10,login,103.5.249.129,Tokyo,Japan,35.6762,139.6503,4d915325,True,editor,1,0,1,0,none,LOW
f654c022,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-02T10:32:00,10,login,103.5.216.164,Tokyo,Japan,35.6762,139.6503,4d915325,True,editor,1,0,1,0,none,LOW
64d11b6c,suzuki_t,Suzuki Takeshi,Engineering,2025-01-02T11:34:00,11,login,103.5.63.201,Tokyo,Japan,35.6762,139.6503,42d8fe54,True,editor,1,0,1,0,none,LOW
069c913b,suzuki_t,Suzuki Takeshi,Engineering,2025-01-02T13:04:00,13,login,103.5.172.125,Tokyo,Japan,35.6762,139.6503,42d8fe54,True,editor,1,0,1,0,none,LOW
