session_id,user_id,user_name,department,timestamp,event_type,country,city,impossible_travel,hours_since_last,mfa_fail_count,is_known_device,country_deviation,hour_sin,hour_cos,is_business_hours,role_rank,role_escalation,pwd_reset_7d,peer_zscore,risk_label,anomaly_type,iso_score,xgb_low_prob,xgb_medium_prob,xgb_high_prob,xgb_pred_label,final_risk_score,shap_explanation,action_taken,action_ja,severity
6fc8700e,kim_j,Kim Junho,Sales,2025-01-01T02:00:00,login,Japan,Tokyo,0,0.0,0,1,0,0.5,0.866,0,0,0,1,0.873,MEDIUM,password_reset_flood,65.25,0.0234,0.9734,0.0031,MEDIUM,26,"[{""feature"": ""hour_cos"", ""shap"": 2.5068}, {""feature"": ""mfa_fail_count"", ""shap"": 0.5264}, {""feature"": ""peer_zscore"", ""shap"": -0.3268}]",ALLOW,アクセスを許可,LOW
0fd0f831,kim_j,Kim Junho,Sales,2025-01-01T02:15:00,login,Japan,Tokyo,0,0.25,0,1,0,0.5,0.866,0,0,0,2,0.873,MEDIUM,password_reset_flood,66.53,0.0206,0.9767,0.0027,MEDIUM,27,"[{""feature"": ""hour_cos"", ""shap"": 2.548}, {""feature"": ""mfa_fail_count"", ""shap"": 0.5264}, {""feature"": ""peer_zscore"", ""shap"": -0.3343}]",ALLOW,アクセスを許可,LOW
ceebe667,kim_j,Kim Junho,Sales,2025-01-01T02:30:00,login,Japan,Tokyo,0,0.25,0,1,0,0.5,0.866,0,0,0,3,0.873,MEDIUM,password_reset_flood,64.64,0.0206,0.9767,0.0027,MEDIUM,26,"[{""feature"": ""hour_cos"", ""shap"": 2.548}, {""feature"": ""mfa_fail_count"", ""shap"": 0.5264}, {""feature"": ""peer_zscore"", ""shap"": -0.3343}]",ALLOW,アクセスを許可,LOW
8b812b71,sato_m,Sato Miyuki,Finance,2025-01-01T03:00:00,login,UK,London,0,0.0,0,0,0,0.7071,0.7071,0,2,1,0,-0.135,MEDIUM,new_country_login,88.28,0.0056,0.9888,0.0056,MEDIUM,36,"[{""feature"": ""hour_cos"", ""shap"": 2.47}, {""feature"": ""mfa_fail_count"", ""shap"": 0.5256}, {""feature"": ""peer_zscore"", ""shap"": -0.3289}]",ALLOW,アクセスを許可,LOW
723a107d,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-01T08:30:00,login,Japan,Tokyo,0,0.0,0,1,0,0.866,-0.5,1,0,0,0,2.897,LOW,none,42.64,0.998,0.0011,0.001,LOW,17,"[{""feature"": ""hour_cos"", ""shap"": 1.3223}, {""feature"": ""role_rank"", ""shap"": 1.1133}, {""feature"": ""role_escalation"", ""shap"": 0.2657}]",ALLOW,アクセスを許可,LOW
b9b57322,kim_j,Kim Junho,Sales,2025-01-01T08:42:00,login,Japan,Tokyo,0,6.2,0,1,0,0.866,-0.5,1,1,1,3,0.873,LOW,none,55.98,0.9976,0.0009,0.0014,LOW,22,"[{""feature"": ""hour_cos"", ""shap"": 1.2572}, {""feature"": ""role_rank"", ""shap"": 1.0835}, {""feature"": ""role_escalation"", ""shap"": -0.4782}]",ALLOW,アクセスを許可,LOW
30f7d4e4,ito_k,Ito Kenji,Finance,2025-01-01T08:55:00,login,Japan,Nagoya,0,0.0,0,1,0,0.866,-0.5,1,0,0,0,-0.135,LOW,none,21.11,0.9988,0.0006,0.0006,LOW,8,"[{""feature"": ""hour_cos"", ""shap"": 1.3223}, {""feature"": ""role_rank"", ""shap"": 1.1133}, {""feature"": ""role_escalation"", ""shap"": 0.2611}]",ALLOW,アクセスを許可,LOW
965d52da,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-01T09:01:00,login,Japan,Tokyo,0,0.52,0,1,0,0.7071,-0.7071,1,0,0,0,2.897,LOW,none,32.1,0.9982,0.0009,0.0009,LOW,13,"[{""feature"": ""hour_cos"", ""shap"": 1.3223}, {""feature"": ""role_rank"", ""shap"": 1.1196}, {""feature"": ""role_escalation"", ""shap"": 0.2657}]",ALLOW,アクセスを許可,LOW
d79033ba,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-01T09:13:00,login,Japan,Tokyo,0,0.2,0,1,0,0.7071,-0.7071,1,0,0,0,2.897,LOW,none,33.16,0.998,0.001,0.001,LOW,13,"[{""feature"": ""hour_cos"", ""shap"": 1.3223}, {""feature"": ""role_rank"", ""shap"": 1.1133}, {""feature"": ""role_escalation"", ""shap"": 0.2657}]",ALLOW,アクセスを許可,LOW
61178fe4,admin45,Admin User 45,IT Operations,2025-01-01T09:22:00,login,Japan,Tokyo,0,0.0,0,1,0,0.7071,-0.7071,1,1,0,0,1.758,LOW,none,15.98,0.998,0.0011,0.0009,LOW,6,"[{""feature"": ""hour_cos"", ""shap"": 1.3223}, {""feature"": ""role_rank"", ""shap"": 1.1133}, {""feature"": ""role_escalation"", ""shap"": 0.2657}]",ALLOW,アクセスを許可,LOW
e1a58a17,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-01T09:43:00,login,Japan,Tokyo,0,0.5,0,1,0,0.7071,-0.7071,1,1,0,0,2.897,LOW,none,30.84,0.9982,0.0009,0.0009,LOW,12,"[{""feature"": ""hour_cos"", ""shap"": 1.3223}, {""feature"": ""role_rank"", ""shap"": 1.1196}, {""feature"": ""role_escalation"", ""shap"": 0.2657}]",ALLOW,アクセスを許可,LOW
21b49fca,nakamura_a,Nakamura Aoi,DevOps,2025-01-01T09:43:00,login,Japan,Tokyo,0,0.0,0,1,0,0.7071,-0.7071,1,1,0,0,1.215,LOW,none,10.35,0.9986,0.0006,0.0007,LOW,4,"[{""feature"": ""hour_cos"", ""shap"": 1.3223}, {""feature"": ""role_rank"", ""shap"": 1.1133}, {""feature"": ""role_escalation"", ""shap"": 0.2657}]",ALLOW,アクセスを許可,LOW
2820c8a9,yamada_r,Yamada Riko,HR,2025-01-01T10:34:00,login,Japan,Tokyo,0,0.0,0,1,0,0.5,-0.866,1,0,0,0,0.881,LOW,none,6.74,0.9986,0.0006,0.0007,LOW,3,"[{""feature"": ""hour_cos"", ""shap"": 1.3081}, {""feature"": ""role_rank"", ""shap"": 1.1133}, {""feature"": ""role_escalation"", ""shap"": 0.2688}]",ALLOW,アクセスを許可,LOW
2d6d7dcb,sato_m,Sato Miyuki,Finance,2025-01-01T10:44:00,login,Japan,Osaka,1,7.73,0,1,0,0.5,-0.866,1,1,0,0,-0.135,LOW,none,52.64,0.9992,0.0004,0.0005,LOW,21,"[{""feature"": ""hour_cos"", ""shap"": 1.3126}, {""feature"": ""role_rank"", ""shap"": 1.1265}, {""feature"": ""role_escalation"", ""shap"": 0.2642}]",ALLOW,アクセスを許可,LOW
26236ba7,tanaka_h,Tanaka Hiroshi,Engineering,2025-01-01T10:45:00,login,Russia,Moscow,1,1.03,0,0,0,0.5,-0.866,1,3,1,0,2.897,HIGH,impossible_travel,94.58,0.0182,0.0073,0.9745,HIGH,96,"[{""feature"": ""role_rank"", ""shap"": 2.1914}, {""feature"": ""hour_cos"", ""shap"": 0.4167}, {""feature"": ""role_escalation"", ""shap"": 0.3777}]",BLOCK,アクセス拒否,CRITICAL
7c6388f6,yamada_r,Yamada Riko,HR,2025-01-01T11:42:00,login,Japan,Tokyo,0,1.13,0,1,0,0.2588,-0.9659,1,0,0,0,0.881,LOW,none,3.26,0.999,0.0004,0.0006,LOW,1,"[{""feature"": ""hour_cos"", ""shap"": 1.3081}, {""feature"": ""role_rank"", ""shap"": 1.1442}, {""feature"": ""role_escalation"", ""shap"": 0.2688}]",ALLOW,アクセスを許可,LOW
9e2ed0d2,suzuki_t,Suzuki Takeshi,Engineering,2025-01-01T11:52:00,login,Japan,Tokyo,0,0.0,0,1,0,0.2588,-0.9659,1,1,0,0,-1.225,LOW,none,20.11,0.9989,0.0005,0.0006,LOW,8,"[{""feature"": ""hour_cos"", ""shap"": 1.3081}, {""feature"": ""role_rank"", ""shap"": 1.131}, {""feature"": ""role_escalation"", ""shap"": 0.2642}]",ALLOW,アクセスを許可,LOW
8c38c009,chen_w,Chen Wei,Engineering,2025-01-01T11:58:00,login,Japan,Tokyo,0,0.0,0,1,0,0.2588,-0.9659,1,0,0,0,-1.225,LOW,none,21.03,0.9989,0.0005,0.0006,LOW,8,"[{""feature"": ""hour_cos"", ""shap"": 1.3081}, {""feature"": ""role_rank"", ""shap"": 1.131}, {""feature"": ""role_escalation"", ""shap"": 0.2642}]",ALLOW,アクセスを許可,LOW
eb5d2f77,yamada_r,Yamada Riko,HR,2025-01-01T13:00:00,login,Japan,Tokyo,0,1.3,0,1,0,-0.2588,-0.9659,1,4,1,0,0.881,HIGH,privilege_escalation,61.83,0.0296,0.0044,0.966,HIGH,83,"[{""feature"": ""role_rank"", ""shap"": 2.2331}, {""feature"": ""hour_cos"", ""shap"": 0.4167}, {""feature"": ""role_escalation"", ""shap"": 0.3873}]",BLOCK,アクセス拒否,CRITICAL
aa49f16f,ito_k,Ito Kenji,Finance,2025-01-01T13:14:00,login,Japan,Nagoya,0,4.32,0,1,0,-0.2588,-0.9659,1,1,0,0,-0.135,LOW,none,3.43,0.9993,0.0003,0.0003,LOW,1,"[{""feature"": ""hour_cos"", ""shap"": 1.3126}, {""feature"": ""role_rank"", ""shap"": 1.1442}, {""feature"": ""role_escalation"", ""shap"": 0.2642}]",ALLOW,アクセスを許可,LOW
87ce3bac,nakamura_a,Nakamura Aoi,DevOps,2025-01-01T14:38:00,login,Japan,Tokyo,0,4.92,0,1,0,-0.5,-0.866,1,1,0,0,1.215,LOW,none,2.69,0.9992,0.0004,0.0004,LOW,1,"[{""feature"": ""hour_cos"", ""shap"": 1.3082}, {""feature"": ""role_rank"", ""shap"": 1.1442}, {""feature"": ""role_escalation"", ""shap"": 0.2688}]",ALLOW,アクセスを許可,LOW
50d0713d,nakamura_a,Nakamura Aoi,DevOps,2025-01-01T15:33:00,login,Japan,Tokyo,0,0.92,0,1,0,-0.7071,-0.7071,1,0,0,0,1.215,LOW,none,7.53,0.999,0.0004,0.0006,LOW,3,"[{""feature"": ""hour_cos"", ""shap"": 1.3179}, {""feature"": ""role_rank"", ""shap"": 1.1442}, {""feature"": ""role_escalation"", ""shap"": 0.2657}]",ALLOW,アクセスを許可,LOW
dd17a9f0,admin45,Admin User 45,IT Operations,2025-01-01T15:34:00,login,Japan,Tokyo,0,6.2,0,1,0,-0.7071,-0.7071,1,1,0,0,1.758,LOW,none,12.75,0.9989,0.0006,0.0005,LOW,5,"[{""feature"": ""hour_cos"", ""shap"": 1.3224}, {""feature"": ""role_rank"", ""shap"": 1.1442}, {""feature"": ""role_escalation"", ""shap"": 0.2657}]",ALLOW,アクセスを許可,LOW
